harm_one,harm_two,harm_three,harm_four,harm_five
0.552771664,0.142699653,0.243100122,0.03642406,0.025004502
0.561129802,0.135182694,0.233482594,0.045038154,0.025166756
0.576014638,0.131160175,0.226242115,0.044721287,0.021861785
0.581700767,0.133100065,0.221540713,0.04381808,0.019840374
0.585416054,0.128081066,0.223950607,0.043994694,0.01855758
0.600293243,0.127518513,0.216911716,0.042671409,0.012605119
0.604149034,0.134740328,0.20730527,0.041442818,0.012362549
0.620434562,0.142501345,0.18318289,0.042567427,0.011313776
0.631817718,0.155063017,0.165498115,0.040792368,0.006828782
0.650381032,0.157753389,0.141163548,0.036092436,0.014609594
0.660032798,0.152967484,0.138468318,0.041252879,0.00727852
0.669684724,0.162224696,0.119889352,0.03301749,0.015183738
0.666668264,0.166390717,0.113336264,0.039460757,0.014143998
0.629171542,0.139298141,0.106271072,0.067089018,0.058170227
0.590383137,0.073044713,0.113814072,0.127767595,0.094990483
0.353393655,0.339692484,0.24811208,0.045035079,0.013766702
0.362282487,0.307165362,0.25688584,0.058932077,0.014734234
0.396060696,0.290536523,0.254910211,0.051104425,0.007388145
0.418437712,0.290624091,0.242018899,0.04704467,0.001874629
0.442431961,0.27770284,0.228966708,0.045985459,0.004913031
0.462225633,0.26761765,0.220115645,0.044915112,0.00512596
0.484685513,0.269648496,0.202457108,0.039088516,0.004120367
0.493329903,0.282696094,0.194644981,0.025119697,0.004209325
0.498582221,0.290250112,0.182153438,0.023579027,0.005435202
0.507039998,0.29053972,0.174109316,0.021624237,0.006686728
0.522955983,0.284365485,0.162291696,0.025305666,0.005081169
0.53921556,0.275636008,0.149257862,0.031740835,0.004149735
0.542609075,0.275725028,0.142541516,0.035723334,0.003401047
0.563721307,0.266370999,0.134147684,0.032980906,0.002779104
0.581740332,0.255235176,0.134820553,0.021240019,0.00696392
0.599642946,0.24680102,0.131340279,0.015994023,0.006221732
0.605910134,0.245750558,0.122684743,0.015648352,0.010006213
0.630126988,0.229799318,0.114857795,0.020506467,0.004709432
0.652115499,0.213889402,0.104563291,0.02518951,0.004242298
0.677893654,0.196813719,0.09506051,0.023074918,0.007157199
0.651822436,0.094842724,0.057364115,0.049867185,0.146103539
0.35191574,0.369871202,0.237900224,0.025665606,0.014647228
0.342295582,0.36314884,0.252351392,0.025459165,0.01674502
0.348155899,0.355139821,0.24479808,0.037622351,0.014283849
0.368147396,0.340202228,0.234558868,0.04539397,0.011697537
0.393438511,0.329087155,0.227566286,0.03784645,0.012061597
0.420621894,0.307203557,0.22047425,0.041359874,0.010340424
0.428700381,0.308831492,0.213890975,0.042394178,0.006182975
0.427291426,0.330303056,0.198125474,0.040644188,0.003635857
0.4228557,0.345530243,0.186162281,0.039194063,0.006257713
0.412918807,0.365574432,0.172496863,0.041033637,0.007976261
0.409076214,0.38914712,0.160449246,0.035032972,0.006294447
0.403900957,0.401484096,0.155316779,0.032104627,0.007193541
0.421081417,0.383034789,0.153913898,0.036926807,0.00504309
0.442803912,0.356786004,0.160170178,0.037621976,0.00261793
0.474693143,0.334680093,0.146699847,0.039930177,0.00399674
0.488818728,0.309850811,0.145193613,0.041795233,0.014341616
0.516439316,0.308707222,0.134913897,0.03376777,0.006171794
0.533991546,0.294776058,0.128714468,0.037605275,0.004912653
0.577774606,0.257235201,0.127278656,0.029892474,0.007819064
0.605848962,0.114607049,0.106619903,0.086804908,0.086119178
0.303939713,0.342036944,0.262613338,0.077995241,0.013414764
0.323572522,0.302049601,0.2853559,0.072918403,0.016103574
0.367538949,0.282589274,0.283191782,0.054468511,0.012211484
0.395878361,0.276625315,0.283496267,0.036376798,0.007623259
0.431212784,0.25973836,0.265801483,0.034794823,0.008452549
0.478639116,0.212352385,0.258422744,0.039122634,0.011463121
0.502120607,0.199470117,0.241139804,0.047082307,0.010187165
0.510124387,0.214297405,0.217884816,0.049945432,0.007747959
0.51055143,0.228656286,0.20204659,0.050665151,0.008080543
0.522755749,0.234116837,0.189493743,0.048314524,0.005319147
0.528583284,0.245419476,0.172128696,0.048025371,0.005843173
0.523964833,0.264586252,0.165445939,0.041261777,0.004741199
0.536648369,0.265987466,0.159738024,0.032685707,0.004940434
0.552507533,0.261043268,0.156323222,0.027070085,0.003055892
0.578838571,0.24429917,0.15031838,0.022719146,0.003824733
0.580281792,0.250993577,0.139994884,0.022200366,0.006529381
0.594295719,0.251213566,0.122783896,0.026475875,0.005230945
0.611956259,0.242933606,0.114500018,0.023827797,0.006782321
0.632294652,0.23512326,0.106660895,0.016801039,0.009120154
0.648250495,0.230951834,0.099352928,0.014064943,0.0073798
0.671748976,0.120673629,0.113701437,0.039207632,0.054668325
0.338369308,0.346551711,0.226012855,0.073343606,0.01572252
0.375358257,0.315698796,0.227028799,0.06779574,0.014118408
0.433495623,0.278038064,0.225479571,0.056604597,0.006382146
0.477965358,0.256382748,0.213595747,0.048263471,0.003792676
0.511539082,0.234296621,0.204139833,0.046278989,0.003745475
0.55169047,0.203482787,0.195706683,0.045811546,0.003308514
