harm_one,harm_two,harm_three,harm_four,harm_five,label
0.756420638,0.088243567,0.051651212,0.037660233,0.06602435,0
0.711629486,0.130723057,0.051484261,0.027381109,0.078782088,0
0.558547837,0.242969253,0.04376171,0.093512255,0.061208946,0
0.481460132,0.332507554,0.049518645,0.096706843,0.039806827,0
0.444832808,0.396852828,0.058250856,0.073393482,0.026670027,0
0.464444586,0.399006042,0.050213571,0.055632672,0.030703129,0
0.481675461,0.374890272,0.043827524,0.065827892,0.033778851,0
0.532589445,0.328200258,0.024877864,0.081040649,0.033291784,0
0.578319237,0.272745945,0.01896498,0.11618097,0.013788869,0
0.655763152,0.144051269,0.073432325,0.119797308,0.006955946,0
0.589846019,0.207791644,0.073412075,0.088097756,0.040852505,0
0.599757135,0.228028586,0.103033823,0.020874301,0.048306154,0
0.616804858,0.197407338,0.092560033,0.044985467,0.048242305,0
0.519669591,0.318104781,0.057042522,0.069418689,0.035764417,0
0.570672231,0.311105122,0.053574703,0.036671827,0.027976116,0
0.549986329,0.305920905,0.053614565,0.063942135,0.026536066,0
0.715449812,0.136720294,0.031740791,0.092724208,0.023364894,0
0.620151835,0.204510688,0.042067938,0.116731257,0.016538282,0
0.485323235,0.339062387,0.035784923,0.126254047,0.013575408,0
0.262026103,0.481187986,0.057869587,0.17508176,0.023834564,0
0.409635864,0.370695184,0.057462507,0.139965764,0.022240682,0
0.710381806,0.089794827,0.073838994,0.109176266,0.016808106,0
0.767097393,0.059291171,0.079996729,0.075723625,0.017891082,0
0.671864046,0.197774068,0.051694251,0.066885986,0.011781649,0
0.4743193,0.399253413,0.039481287,0.069849065,0.017096936,0
0.210720268,0.64933576,0.051781874,0.071624399,0.016537699,0
0.342707174,0.559690245,0.043192673,0.043961058,0.01044885,0
0.444346896,0.481534727,0.027523889,0.03600232,0.010592167,0
0.534662303,0.387764366,0.034871532,0.031949231,0.010752569,0
0.731008109,0.197765474,0.024515616,0.037542117,0.009168684,0
0.868459892,0.080880951,0.015728286,0.028546895,0.006383977,0
0.88109951500000006,0.072757361,0.015041618,0.025306233,0.005795272,0
0.849068743,0.109649874,0.016391204,0.020963854,0.003926325,0
0.842914195,0.122981778,0.009610999,0.020325505,0.004167524,0
0.809508874,0.154970374,0.011114213,0.019945832,0.004460707,0
0.781027829,0.178035851,0.021480488,0.014964687,0.004491145,0
0.725914519,0.225251203,0.030405587,0.012901321,0.005527369,0
0.702004553,0.238937023,0.044577143,0.006236991,0.008244291,0
0.772393104,0.138260711,0.059798164,0.016624243,0.012923779,0
0.803129368,0.128980235,0.046703538,0.013352676,0.007834184,0
0.792654378,0.16143134,0.027641185,0.013269597,0.005003499,0
0.791481101,0.180136901,0.012859079,0.011349978,0.004172941,0
0.806635107,0.170479753,0.010636319,0.010248023,0.002000798,0
0.714862833,0.084908561,0.079464385,0.081792197,0.038972024,0
0.724285848,0.109140587,0.040829938,0.07646535,0.049278277,0
0.762093241,0.157792978,0.021323092,0.034635225,0.024155464,0
0.741102845,0.204906044,0.01240794,0.031801442,0.009781729,0
0.695646458,0.192164963,0.019904587,0.069145043,0.023138949,0
0.694851979,0.148384904,0.033045886,0.088454775,0.035262456,0
0.750392009,0.102387223,0.048593578,0.046458544,0.052168646,0
0.763491713,0.096343869,0.058270862,0.016681098,0.065212458,0
0.656561922,0.171757983,0.050944278,0.06202514,0.058710677,0
0.518635502,0.30353098,0.051060621,0.08750322,0.039269676,0
0.491071689,0.356371641,0.059816717,0.068514232,0.02422572,0
0.446563679,0.405564506,0.064927906,0.057516484,0.025427424,0
0.469933098,0.388957905,0.049406848,0.059236794,0.032465356,0
0.408477931,0.425291339,0.042811892,0.087396586,0.036022252,0
0.437657643,0.401887245,0.015076036,0.117931352,0.027447724,0
0.395604471,0.353002111,0.070117282,0.169989866,0.01128627,0
0.353054073,0.363421191,0.110031025,0.137889611,0.0356041,0
0.289398263,0.395256622,0.169801765,0.077315664,0.068227686,0
0.528662098,0.245767263,0.140719286,0.031833341,0.053018012,0
0.637390018,0.142247579,0.105597052,0.067111158,0.047654193,0
0.616284183,0.245678328,0.068860854,0.03970423,0.029472405,0
0.578683681,0.275946717,0.070938149,0.04435515,0.030076302,0
0.681468239,0.144613014,0.048317911,0.098237023,0.027363813,0
0.691942977,0.106081654,0.058669314,0.121914751,0.021391304,0
0.472088467,0.304629776,0.043834693,0.163603068,0.015843996,0
0.411439267,0.338645243,0.057958268,0.170345783,0.021611438,0
0.587663588,0.206834336,0.058847083,0.127922283,0.01873271,0
0.78790544,0.065622474,0.048534764,0.084238463,0.013698858,0
0.798641921,0.08552664,0.054857145,0.050852679,0.010121616,0
0.772727419,0.131746634,0.045322796,0.041253242,0.008949909,0
0.706151251,0.215176207,0.028677844,0.041971251,0.008023447,0
0.632947474,0.275491629,0.033957577,0.046169038,0.011434281,0
0.431589285,0.46843413,0.043517503,0.044322306,0.012136776,0
0.141844615,0.694357069,0.085965603,0.062198641,0.015634072,0
0.219527856,0.648100008,0.066407522,0.045148129,0.020816486,0
0.702613372,0.203270725,0.034747852,0.048417528,0.010950521,0
0.871982465,0.067403739,0.023335348,0.028506082,0.008772366,0
0.909162575,0.047122547,0.014992048,0.023164127,0.005558702,0
0.87881467,0.080196469,0.019324702,0.016949358,0.004714801,0
0.880541745,0.082646877999999993,0.013839985,0.018291225,0.004680166,0
0.853286082,0.114003669,0.01078396,0.017702402,0.004223887,0
0.852760537,0.116650153,0.012340481,0.014314622,0.003934207,0
0.82497927,0.137470421,0.022493718,0.011726774,0.003329816,0
0.785654058,0.161818797,0.036600821,0.009307077,0.006619247,0
0.612896512,0.277536961,0.078683825,0.015846654,0.015036047,0
