harm_one,harm_two,harm_three,harm_four,harm_five
0.474963217,0.353389962,0.094605896,0.035101894,0.04193903
0.477695942,0.346884393,0.089919377,0.042113806,0.043386482
0.496175569,0.33897944,0.085891097,0.051718734,0.02723516
0.505837993,0.322234246,0.098136465,0.045704629,0.028086667
0.512064474,0.323526424,0.090451533,0.043212454,0.030745114
0.548503189,0.29249753,0.082393964,0.04223886,0.034366457
0.591864524,0.275731058,0.070777996,0.02956571,0.032060714
0.622815535,0.253949952,0.075477004,0.025878609,0.0218789
0.630278425,0.241142565,0.071270628,0.031077789,0.026230593
0.626012706,0.253095738,0.065352375,0.027657211,0.027881969
0.601276043,0.269875775,0.065694494,0.044781511,0.018372177
0.230524522,0.3906985,0.123166151,0.134894763,0.120716064
0.25164133,0.3367322,0.200084435,0.085142197,0.126399839
0.258564337,0.398803345,0.221873392,0.037408778,0.083350148
0.228767796,0.446359598,0.207999889,0.057011223,0.059861494
0.223827193,0.453210603,0.213672667,0.073914362,0.035375174
0.206646684,0.512153113,0.177383008,0.061335918,0.042481277
0.198524674,0.59496382,0.157711911,0.041689705,0.007109891
0.180196877,0.586791734,0.148480043,0.052461141,0.032070204
0.186949478,0.57559482,0.115325707,0.07386986,0.048260135
0.256609752,0.501947502,0.121147572,0.066126011,0.054169162
0.242587473,0.53467246,0.114222083,0.062907426,0.045610556
0.310160535,0.512306861,0.072455951,0.063549834,0.041526819
0.370221041,0.433225954,0.090755144,0.05569891,0.050098951
0.313953958,0.522370073,0.050358247,0.060811318,0.052506404
0.322319804,0.533948067,0.04435505,0.052609247,0.046767833
0.072142172,0.83119301,0.03122206,0.040087748,0.025355009
0.240395872,0.41799669,0.171047686,0.104513694,0.066046057
0.266231362,0.448848611,0.136752932,0.098872328,0.049294766
0.221637212,0.546535333,0.140572401,0.068207277,0.023047777
0.183823586,0.590414142,0.14170648,0.070211006,0.013844786
0.166769799,0.58047627,0.151301334,0.0904418,0.011010797
0.186156582,0.587161671,0.129542213,0.084563876,0.012575658
0.214063909,0.532252441,0.128802472,0.108026001,0.016855177
0.236439087,0.55893893,0.099137778,0.091308858,0.014175346
0.253528961,0.557722045,0.09909038,0.076333505,0.013325109
0.26657322,0.489027025,0.131299598,0.097970342,0.015129814
0.284787649,0.503150073,0.106519555,0.09418257,0.011360153
0.34208771,0.477105291,0.065086987,0.105671463,0.010048549
0.360422207,0.451675411,0.082219312,0.094370591,0.011312478
0.425096777,0.408938353,0.071606093,0.077897239,0.016461538
0.429322076,0.385211936,0.082040815,0.075717782,0.027707391
0.337753951,0.375079659,0.208431914,0.072071788,0.006662689
0.355991536,0.37960888,0.185023506,0.068331501,0.011044577
0.328623591,0.451600374,0.148939652,0.056871942,0.013964443
0.330411725,0.471463394,0.128309478,0.055063843,0.014751561
0.342841471,0.476356106,0.107483063,0.055917347,0.017402013
0.355874248,0.472760185,0.106414769,0.051192146,0.013758653
0.359355369,0.459375961,0.118394993,0.048866862,0.014006815
0.3441073,0.460610812,0.134747205,0.046156695,0.014377988
0.373718096,0.462443412,0.103520607,0.044978988,0.015338896
0.398508544,0.450162823,0.085746338,0.050486072,0.015096223
0.428186005,0.424126014,0.084324044,0.049885912,0.013478024
0.440650236,0.419096756,0.085422113,0.041985312,0.012845582
0.45091892,0.406600769,0.080685041,0.045339441,0.016455829
0.456448966,0.335022688,0.096233752,0.076786518,0.035508076
0.373867496,0.36403502,0.17646899,0.062604976,0.023023518
0.369757988,0.387875681,0.159552374,0.065533579,0.017280378
0.364311308,0.428608531,0.139361841,0.05201154,0.015706781
0.387371196,0.426405134,0.121289745,0.048145918,0.016788007
0.39391389,0.43314884,0.098404643,0.048149379,0.026383248
0.417241192,0.433951566,0.093679605,0.040594982,0.014532655
0.435429322,0.428706561,0.082784939,0.035460518,0.01761866
0.450230582,0.428097207,0.074639425,0.032603535,0.01442925
0.43679923,0.39007702,0.094345476,0.053854404,0.02492387
0.492907818,0.3542416,0.057247398,0.050774161,0.044829022
0.464796854,0.39507935,0.061349781,0.05833025,0.020443765
0.464745025,0.392127209,0.050345506,0.055585852,0.037196409
0.44109026,0.3574328,0.081135698,0.068157155,0.052184088
0.144859695,0.519067366,0.08271724,0.165544924,0.087810775
0.114592299,0.463975883,0.114754428,0.211320453,0.095356938
0.47888833,0.319031372,0.104666801,0.053207811,0.044205687
0.48845328,0.320255907,0.102353464,0.053610288,0.035327061
0.437058863,0.375459983,0.102550484,0.049753735,0.035176934
0.420961791,0.395999267,0.106869895,0.04151031,0.034658737
0.430302354,0.379406912,0.112400773,0.045432737,0.032457224
0.4437756,0.367276811,0.117807862,0.041076697,0.03006303
0.472856792,0.34724482,0.102788732,0.04537433,0.031735325
0.499906568,0.337396318,0.090235953,0.04005649,0.032404672
0.529027159,0.304877084,0.089496371,0.046561909,0.030037477
0.537403909,0.303092411,0.084269623,0.037366842,0.037867215
0.563028882,0.293794252,0.078275422,0.039565985,0.02533546
0.561919061,0.292186338,0.076495397,0.033171097,0.036228107
0.571812732,0.27993393,0.079196616,0.039959627,0.029097095
0.588423514,0.263797454,0.082281192,0.038272094,0.027225746
0.593534773,0.270106215,0.069036699,0.038507164,0.028815149
0.650693109,0.253358893,0.042945545,0.035006558,0.017995895
0.213292872,0.179283098,0.139814498,0.151104288,0.316505244
0.307541445,0.366872209,0.152367644,0.068368195,0.104850507
0.315218738,0.376272408,0.152675224,0.078948642,0.076884989
0.295361286,0.452513078,0.128156073,0.061113404,0.062856159
0.279998774,0.474127801,0.139514073,0.055231755,0.051127597
0.289288907,0.457904433,0.129080615,0.067550607,0.056175437
0.316775397,0.437952645,0.147386061,0.044927518,0.052958379
0.37208797,0.396269379,0.109100786,0.057638385,0.06490348
0.390360812,0.388000101,0.106063928,0.066830982,0.048744177
0.416655022,0.35116226,0.118583218,0.067234444,0.046365056
0.424760756,0.349427535,0.110816989,0.069392975,0.045601745
0.456258547,0.336360603,0.092086508,0.069542578,0.045751765
0.483799229,0.333208455,0.075861328,0.062823765,0.044307222
0.497499271,0.335400118,0.070057429,0.055477386,0.041565794
0.51255874,0.329412949,0.067961456,0.05090451,0.039162344
0.518853574,0.322459782,0.066949792,0.050586192,0.041150661
0.547893765,0.321561308,0.050861114,0.041986218,0.037697594
0.558235738,0.29967545,0.04007003,0.035765369,0.066253414
