harm_one,harm_two,harm_three,harm_four,harm_five
0.756420638,0.088243567,0.051651212,0.037660233,0.06602435
0.711629486,0.130723057,0.051484261,0.027381109,0.078782088
0.558547837,0.242969253,0.04376171,0.093512255,0.061208946
0.481460132,0.332507554,0.049518645,0.096706843,0.039806827
0.444832808,0.396852828,0.058250856,0.073393482,0.026670027
0.464444586,0.399006042,0.050213571,0.055632672,0.030703129
0.481675461,0.374890272,0.043827524,0.065827892,0.033778851
0.532589445,0.328200258,0.024877864,0.081040649,0.033291784
0.578319237,0.272745945,0.01896498,0.11618097,0.013788869
0.655763152,0.144051269,0.073432325,0.119797308,0.006955946
0.589846019,0.207791644,0.073412075,0.088097756,0.040852505
0.599757135,0.228028586,0.103033823,0.020874301,0.048306154
0.616804858,0.197407338,0.092560033,0.044985467,0.048242305
0.519669591,0.318104781,0.057042522,0.069418689,0.035764417
0.570672231,0.311105122,0.053574703,0.036671827,0.027976116
0.549986329,0.305920905,0.053614565,0.063942135,0.026536066
0.715449812,0.136720294,0.031740791,0.092724208,0.023364894
0.620151835,0.204510688,0.042067938,0.116731257,0.016538282
0.485323235,0.339062387,0.035784923,0.126254047,0.013575408
0.262026103,0.481187986,0.057869587,0.17508176,0.023834564
0.409635864,0.370695184,0.057462507,0.139965764,0.022240682
0.710381806,0.089794827,0.073838994,0.109176266,0.016808106
0.767097393,0.059291171,0.079996729,0.075723625,0.017891082
0.671864046,0.197774068,0.051694251,0.066885986,0.011781649
0.4743193,0.399253413,0.039481287,0.069849065,0.017096936
0.210720268,0.64933576,0.051781874,0.071624399,0.016537699
0.342707174,0.559690245,0.043192673,0.043961058,0.01044885
0.444346896,0.481534727,0.027523889,0.03600232,0.010592167
0.534662303,0.387764366,0.034871532,0.031949231,0.010752569
0.731008109,0.197765474,0.024515616,0.037542117,0.009168684
0.868459892,0.080880951,0.015728286,0.028546895,0.006383977
0.881099515,0.072757361,0.015041618,0.025306233,0.005795272
0.849068743,0.109649874,0.016391204,0.020963854,0.003926325
0.842914195,0.122981778,0.009610999,0.020325505,0.004167524
0.809508874,0.154970374,0.011114213,0.019945832,0.004460707
0.781027829,0.178035851,0.021480488,0.014964687,0.004491145
0.725914519,0.225251203,0.030405587,0.012901321,0.005527369
0.702004553,0.238937023,0.044577143,0.006236991,0.008244291
0.772393104,0.138260711,0.059798164,0.016624243,0.012923779
0.803129368,0.128980235,0.046703538,0.013352676,0.007834184
0.792654378,0.16143134,0.027641185,0.013269597,0.005003499
0.791481101,0.180136901,0.012859079,0.011349978,0.004172941
0.806635107,0.170479753,0.010636319,0.010248023,0.002000798
0.714862833,0.084908561,0.079464385,0.081792197,0.038972024
0.724285848,0.109140587,0.040829938,0.07646535,0.049278277
0.762093241,0.157792978,0.021323092,0.034635225,0.024155464
0.741102845,0.204906044,0.01240794,0.031801442,0.009781729
0.695646458,0.192164963,0.019904587,0.069145043,0.023138949
0.694851979,0.148384904,0.033045886,0.088454775,0.035262456
0.750392009,0.102387223,0.048593578,0.046458544,0.052168646
0.763491713,0.096343869,0.058270862,0.016681098,0.065212458
0.656561922,0.171757983,0.050944278,0.06202514,0.058710677
0.518635502,0.30353098,0.051060621,0.08750322,0.039269676
0.491071689,0.356371641,0.059816717,0.068514232,0.02422572
0.446563679,0.405564506,0.064927906,0.057516484,0.025427424
0.469933098,0.388957905,0.049406848,0.059236794,0.032465356
0.408477931,0.425291339,0.042811892,0.087396586,0.036022252
0.437657643,0.401887245,0.015076036,0.117931352,0.027447724
0.395604471,0.353002111,0.070117282,0.169989866,0.01128627
0.353054073,0.363421191,0.110031025,0.137889611,0.0356041
0.289398263,0.395256622,0.169801765,0.077315664,0.068227686
0.528662098,0.245767263,0.140719286,0.031833341,0.053018012
0.637390018,0.142247579,0.105597052,0.067111158,0.047654193
0.616284183,0.245678328,0.068860854,0.03970423,0.029472405
0.578683681,0.275946717,0.070938149,0.04435515,0.030076302
0.681468239,0.144613014,0.048317911,0.098237023,0.027363813
0.691942977,0.106081654,0.058669314,0.121914751,0.021391304
0.472088467,0.304629776,0.043834693,0.163603068,0.015843996
0.411439267,0.338645243,0.057958268,0.170345783,0.021611438
0.587663588,0.206834336,0.058847083,0.127922283,0.01873271
0.78790544,0.065622474,0.048534764,0.084238463,0.013698858
0.798641921,0.08552664,0.054857145,0.050852679,0.010121616
0.772727419,0.131746634,0.045322796,0.041253242,0.008949909
0.706151251,0.215176207,0.028677844,0.041971251,0.008023447
0.632947474,0.275491629,0.033957577,0.046169038,0.011434281
0.431589285,0.46843413,0.043517503,0.044322306,0.012136776
0.141844615,0.694357069,0.085965603,0.062198641,0.015634072
0.219527856,0.648100008,0.066407522,0.045148129,0.020816486
0.702613372,0.203270725,0.034747852,0.048417528,0.010950521
0.871982465,0.067403739,0.023335348,0.028506082,0.008772366
0.909162575,0.047122547,0.014992048,0.023164127,0.005558702
0.87881467,0.080196469,0.019324702,0.016949358,0.004714801
0.880541745,0.082646878,0.013839985,0.018291225,0.004680166
0.853286082,0.114003669,0.01078396,0.017702402,0.004223887
0.852760537,0.116650153,0.012340481,0.014314622,0.003934207
0.82497927,0.137470421,0.022493718,0.011726774,0.003329816
0.785654058,0.161818797,0.036600821,0.009307077,0.006619247
0.612896512,0.277536961,0.078683825,0.015846654,0.015036047
0.65677564,0.259853243,0.053985298,0.01714527,0.012240549
0.776389237,0.173128003,0.032397483,0.011770983,0.006314294
0.785691745,0.180144584,0.017667571,0.013184627,0.003311473
0.818939111,0.159322925,0.007660595,0.010079393,0.003997977
0.684945979,0.219407482,0.048775164,0.03558598,0.011285395
0.696173318,0.134569253,0.054956629,0.074297099,0.0400037
0.769953453,0.131262274,0.019559564,0.047692125,0.031532585
0.8060169,0.159278021,0.005469217,0.018343461,0.010892402
0.745363333,0.168568158,0.014248576,0.050327477,0.021492456
0.723081019,0.120955346,0.046004119,0.081570606,0.02838891
0.768486284,0.052561299,0.062254027,0.07952965,0.03716874
0.793873764,0.038119301,0.075682233,0.032790745,0.059533956
0.679704073,0.162831233,0.054599094,0.039730057,0.063135542
0.560249086,0.271305118,0.040323405,0.080081496,0.048040895
0.523400227,0.32724233,0.050543276,0.072940912,0.025873255
0.523482334,0.347624814,0.060452604,0.047061885,0.021378363
0.577095901,0.312798729,0.05151328,0.033028531,0.025563559
0.623512852,0.256911771,0.045185832,0.044103774,0.03028577
0.70845936,0.18624586,0.028486033,0.050542344,0.026266403
0.786440858,0.120864768,0.014147203,0.067672698,0.010874473
0.842914872,0.030541295,0.058103209,0.058359534,0.01008109
0.813817899,0.058908445,0.067347266,0.03341914,0.02650725
0.779752164,0.116143806,0.073518291,0.007206629,0.02337911
0.730498894,0.148269864,0.074224742,0.023447901,0.0235586
0.620245126,0.263848344,0.055856956,0.03655355,0.023496024
0.608281244,0.289505402,0.060632107,0.018547245,0.023034002
0.562139887,0.302004526,0.066601562,0.042358818,0.026895208
0.721881439,0.156173859,0.043183528,0.058361459,0.020399716
0.675252653,0.19955495,0.045500267,0.065038258,0.014653871
0.604716908,0.282998203,0.025969152,0.072853193,0.013462544
0.559560651,0.313170692,0.034441218,0.076557555,0.016269884
0.62139558,0.261763793,0.036938648,0.065667048,0.014234931
0.782901954,0.077217925,0.058864334,0.06608358,0.014932206
0.857525132,0.028365544,0.058613718,0.045373964,0.010121641
0.739288345,0.173437892,0.037986909,0.041316085,0.007970769
0.656357463,0.276255475,0.022779099,0.035046996,0.009560967
0.576914441,0.365312753,0.021214927,0.028346047,0.008211832
0.516872644,0.413491923,0.03350247,0.026964579,0.009168384
0.564807715,0.377297615,0.027692907,0.022331299,0.007870464
0.658189348,0.291894344,0.024483283,0.018746492,0.006686533
0.772456071,0.184293584,0.019141779,0.018386014,0.005722552
0.860529378,0.10393954,0.013699137,0.016015803,0.005816142
0.704137866,0.100469328,0.084086579,0.070663666,0.040642562
0.746356158,0.108060155,0.041753125,0.061630503,0.042200058
0.794626426,0.146333489,0.017718841,0.024226111,0.017095134
0.758705401,0.184586403,0.003288472,0.037540225,0.015879498
0.705684067,0.16370188,0.028631229,0.074452971,0.027529853
0.708165265,0.109758613,0.049140726,0.091992858,0.040942538
0.761100409,0.066598917,0.061911037,0.040505077,0.069884559
0.708543211,0.11901721,0.059302919,0.03754531,0.07559135
0.616864869,0.193682159,0.052645001,0.077370223,0.059437748
0.526957398,0.296659026,0.054505997,0.086480912,0.035396668
0.522611927,0.331095856,0.065587606,0.058268986,0.022435625
0.520374974,0.344389423,0.066159296,0.042786145,0.026290162
0.558913738,0.310475699,0.052122219,0.047904604,0.030583741
0.557003819,0.30578468,0.043018112,0.066045011,0.028148379
0.623364389,0.258860812,0.024201684,0.080998078,0.012575038
0.624539755,0.20807169,0.066794319,0.092398912,0.008195325
0.598491167,0.231776227,0.081539567,0.057956928,0.03023611
0.551337712,0.2764206,0.1096398,0.020610718,0.041991171
0.548118083,0.278028263,0.102298251,0.033498426,0.038056977
0.544031736,0.26232109,0.093647502,0.055313036,0.044686636
0.565249508,0.277411129,0.079792389,0.041069934,0.03647704
0.533549865,0.289535818,0.087585779,0.050515501,0.038813037
0.661413366,0.135296444,0.063845181,0.106157686,0.033287323
0.565120316,0.20660684,0.078581112,0.122885362,0.026806371
0.386836845,0.423562268,0.034075009,0.134015438,0.02151044
0.106544951,0.618294383,0.060596279,0.181786268,0.032778119
0.33578064,0.4075743,0.08041012,0.145758165,0.030476775
0.632547512,0.182339717,0.067377612,0.097935561,0.019799597
0.71890215,0.113787015,0.080383071,0.068660117,0.018267648
0.652325381,0.209754379,0.067148655,0.055469246,0.015302339
0.5199662,0.368738099,0.039606946,0.05665229,0.015036464
0.240471061,0.630974734,0.037893822,0.069256076,0.021404307
0.237695704,0.655587754,0.044426402,0.045843914,0.016446226
0.454007887,0.459766871,0.043792268,0.031077039,0.011355935
0.494688965,0.426644731,0.041540512,0.022980672,0.01414512
0.686469813,0.188979255,0.072604749,0.038157942,0.01378824
0.669087198,0.143186248,0.069453686,0.079390988,0.038881881
0.716156647,0.150491038,0.037034943,0.057961256,0.038356115
0.747896394,0.189875177,0.024083059,0.02151711,0.01662826
0.724758031,0.215488692,0.009836836,0.040433803,0.009482638
0.706667615,0.178507318,0.028171029,0.071803388,0.01485065
0.732584205,0.129456391,0.045413057,0.071124101,0.021422245
0.774655856,0.080837682,0.065435607,0.036196709,0.042874145
0.765058318,0.108342995,0.053139218,0.011447979,0.06201149
0.580248568,0.26353394,0.035631151,0.060596045,0.059990296
0.463964926,0.373107871,0.052276225,0.071183334,0.039467643
0.357456488,0.471419661,0.082431593,0.058682194,0.030010063
0.360522228,0.475859569,0.087910688,0.045131803,0.030575713
0.353968747,0.4429169,0.098817094,0.064803595,0.039493664
0.522489173,0.30716231,0.067359093,0.070158486,0.032830939
0.668932699,0.196084007,0.034955799,0.086925509,0.013101986
0.820978682,0.049304212,0.039364473,0.079966608,0.010386025
0.782349436,0.08585068,0.051282909,0.051837576,0.0286794
0.75298611,0.138915374,0.065255112,0.011541537,0.031301868
0.699631614,0.170752665,0.075004368,0.020715921,0.033895431
0.591185147,0.300420582,0.047672099,0.037796955,0.022925218
0.547113146,0.336682088,0.063876877,0.03025914,0.022068749
0.533380843,0.325964267,0.067979851,0.04872004,0.023955
0.677060091,0.183021508,0.057934945,0.06377068,0.018212777
0.627633448,0.208554624,0.075426514,0.073915078,0.014470336
0.620431104,0.243875569,0.044253884,0.079512061,0.011927382
0.507323878,0.357852667,0.008345343,0.108467099,0.018011012
0.442745985,0.408418716,0.023047921,0.1063235,0.019463878
0.612062105,0.174207075,0.083100525,0.108128612,0.022501684
0.700577043,0.109486716,0.094842438,0.078661235,0.016432568
0.70616251,0.158343689,0.060926691,0.060735653,0.013831457
0.575115968,0.298343037,0.054742786,0.057481276,0.014316933
0.648130716,0.220349177,0.066176281,0.048526854,0.016816972
0.691876861,0.138598815,0.056420097,0.075472165,0.037632062
0.750034599,0.126835085,0.040389643,0.051637584,0.031103089
0.785312772,0.152570126,0.024521957,0.022641473,0.014953672
0.751263666,0.182276612,0.01377881,0.041374867,0.011306045
0.745366355,0.146976894,0.023328254,0.068635597,0.015692899
0.800392597,0.067869182,0.040965455,0.062831258,0.027941508
0.84095309,0.028222048,0.063832611,0.022816952,0.0441753
0.755576801,0.106960204,0.06265963,0.029528147,0.045275218
0.625213831,0.223812649,0.049509093,0.067422324,0.034042103
0.56701238,0.298906723,0.051588924,0.064346215,0.018145758
0.541992801,0.327607987,0.065832337,0.048215296,0.016351579
0.570124294,0.313041544,0.062379383,0.037822568,0.016632211
0.561774255,0.297864808,0.066239163,0.051158982,0.022962792
0.581490355,0.281670889,0.05832747,0.059096145,0.019415141
0.563559358,0.304727124,0.030430335,0.089327424,0.011955759
0.636122688,0.200729822,0.053768121,0.098008882,0.011370488
0.56365827,0.250417018,0.081282835,0.073024076,0.0316178
0.597364976,0.226387306,0.139594031,0.005946346,0.030707341
0.562644456,0.186023858,0.157097309,0.062599222,0.031635155
0.579446092,0.185593023,0.122419628,0.082731661,0.029809597
0.557625531,0.238853337,0.11699897,0.062236331,0.02428583
0.556436471,0.220169797,0.102236293,0.096290649,0.02486679
0.71743059,0.041340414,0.093633484,0.127618986,0.019976525
0.625637411,0.166548146,0.082879193,0.116926217,0.008009034
0.546730872,0.272103195,0.037925834,0.133103732,0.010136367
0.541772624,0.266492597,0.030637022,0.145911076,0.015186681
0.307085873,0.374687445,0.094815206,0.198878905,0.02453257
0.524630356,0.209797852,0.117094783,0.129888638,0.018588371
0.461296067,0.36809296,0.088635443,0.067423006,0.014552524
0.532770917,0.377624735,0.040268342,0.041169636,0.00816637
0.457113255,0.475179779,0.026379898,0.031246417,0.010080651
0.550292778,0.40422104,0.018367528,0.019129929,0.007988725
0.514025766,0.440277265,0.022200898,0.017114964,0.006381107
0.599630566,0.348894806,0.025246101,0.017821502,0.008407025
0.644914479,0.27909911,0.03945121,0.028748448,0.007786753
0.697215565,0.11812909,0.083878267,0.069863961,0.030913117
0.7042929,0.135792147,0.057716253,0.063620321,0.038578379
0.756696756,0.139363044,0.039913936,0.037810603,0.026215662
0.756225194,0.184082636,0.023403181,0.023220162,0.013068827
0.729376492,0.17528968,0.023902627,0.053782625,0.017648577
0.725324846,0.121720049,0.043988297,0.079607111,0.029359697
0.787846259,0.049127824,0.070989739,0.045875604,0.046160574
0.760470205,0.078679383,0.08619702,0.018004641,0.056648751
0.673124122,0.155547981,0.067524421,0.052023361,0.051780115
0.56421427,0.279514847,0.05740434,0.0664281,0.032438443
0.513162221,0.351974266,0.064206812,0.054002386,0.016654314
0.501589919,0.371651648,0.071111934,0.039571844,0.016074655
0.541840449,0.349188736,0.057952266,0.027575148,0.0234434
0.541737832,0.342432599,0.048155988,0.043902315,0.023771266
0.61593782,0.289189367,0.029176895,0.049967424,0.015728494
0.653470334,0.254745206,0.019277247,0.065950821,0.006556392
0.684214733,0.203843527,0.043396687,0.057194523,0.01135053
0.638302993,0.244091187,0.069151187,0.029141106,0.019313527
0.714366315,0.173666844,0.085196806,0.009557795,0.01721224
0.780773918,0.09316261,0.080399884,0.030490663,0.015172925
0.789006747,0.094645109,0.068068846,0.0339099,0.014369398
0.720629404,0.154691158,0.076084792,0.033952041,0.014642605
0.78465555,0.102118438,0.046860423,0.053336412,0.013029178
0.80782752,0.076372756,0.048692564,0.057330857,0.009776304
0.779988046,0.105056499,0.041656441,0.066960166,0.006338847
0.732887334,0.154909922,0.030475863,0.073564632,0.008162248
0.815339177,0.079443424,0.036844281,0.058659963,0.009713155
0.892856564,0.026347185,0.037956425,0.036402446,0.00643738
0.82497503,0.105909063,0.039839425,0.024586544,0.004689938
0.828507239,0.125665513,0.027281541,0.014120943,0.004424764
0.803411923,0.16173211,0.017349796,0.01389035,0.003615821
0.793053055,0.169362646,0.018893482,0.014092687,0.00459813
0.733515904,0.229060952,0.016434712,0.015538695,0.005449738
0.622085564,0.320818983,0.027369564,0.023000798,0.006725092
0.721362145,0.137567356,0.072333166,0.051406408,0.017330926
0.685943233,0.146800451,0.065023049,0.064469985,0.037763282
0.750926716,0.134550176,0.044465662,0.039069608,0.030987839
0.770367752,0.166965357,0.022188559,0.02203309,0.018445242
0.72754396,0.192495115,0.017311616,0.047197728,0.015451581
0.726297536,0.142586954,0.040068835,0.070879048,0.020167627
0.773328548,0.076047201,0.056276286,0.05757967,0.036768296
0.805910202,0.043189546,0.073395296,0.019694411,0.057810545
0.737058416,0.104700465,0.061095487,0.039461471,0.057684161
0.613651153,0.21752791,0.056094607,0.071655939,0.041070391
0.559582128,0.289138883,0.070455697,0.060650661,0.020172632
0.527940273,0.319051566,0.091917998,0.042571159,0.018519003
0.55819666,0.302930435,0.088058094,0.029182786,0.021632025
0.566817396,0.276248139,0.085923704,0.047538159,0.023472602
0.619346734,0.246740743,0.066752874,0.051818569,0.015341081
0.664450109,0.232274707,0.038828546,0.060337549,0.00410909
0.70268085,0.188002569,0.044855365,0.050613167,0.013848049
0.646509295,0.241442498,0.058870177,0.026678369,0.026499661
0.607664354,0.273472145,0.081872103,0.011999489,0.024991911
0.566507703,0.276727039,0.093318931,0.039764807,0.023681519
0.64061342,0.185747004,0.095104923,0.051186043,0.027348609
0.675218028,0.149833085,0.104578488,0.044015947,0.026354451
0.668980304,0.132502108,0.099414365,0.072303261,0.026799962
0.634015555,0.204530298,0.072046569,0.07288257,0.016525009
0.492036505,0.33876633,0.070579185,0.086636108,0.011981873
0.342802759,0.490840226,0.036603499,0.110186884,0.019566632
0.396618,0.438683556,0.037894659,0.105846536,0.020957248
0.632663887,0.253141695,0.044087885,0.056374227,0.013732306
0.811813092,0.065735512,0.065476101,0.045964922,0.011010373
0.817665233,0.078836742,0.063392201,0.029859589,0.010246235
0.724872212,0.196453632,0.046273239,0.024427434,0.007973483
0.606979473,0.317466976,0.042186777,0.023435081,0.009931692
0.465610441,0.463002143,0.038806546,0.02114773,0.01143314
0.278484191,0.657846656,0.027146591,0.022855415,0.013667148
0.462908457,0.483552028,0.021285179,0.020693892,0.011560444
0.624875738,0.316958061,0.026466653,0.021598766,0.010100782
0.717686317,0.107770448,0.08546008,0.061678766,0.027404389
0.724754506,0.135560273,0.056332875,0.052398998,0.030953347
0.791509122,0.13612895,0.030729383,0.025247121,0.016385424
0.763471296,0.180399962,0.007794185,0.033101169,0.015233388
0.716872783,0.175868653,0.028847079,0.061822322,0.016589164
0.711071106,0.129262816,0.059110761,0.073572753,0.026982563
0.787080484,0.055590459,0.072991356,0.0296475,0.054690201
0.794545412,0.032220867,0.06800588,0.038018762,0.06720908
0.725523931,0.106946559,0.046290333,0.066264131,0.054975045
0.627834751,0.214756001,0.053230913,0.073972951,0.030205384
0.609275937,0.249594503,0.074040922,0.048816443,0.018272195
0.606761875,0.246984451,0.092824128,0.031196298,0.022233249
0.64584285,0.21020853,0.08792275,0.029878252,0.026147618
0.650942857,0.194835909,0.084143399,0.048668942,0.021408894
0.689124392,0.177076803,0.067979249,0.055891891,0.009927665
0.687598734,0.193951636,0.045781745,0.061956989,0.010710897
0.586028341,0.278255429,0.061662117,0.045780755,0.028273359
0.423408118,0.414092694,0.106200026,0.014799803,0.041499359
0.355236825,0.453045749,0.123061583,0.033699347,0.034956496
0.378386909,0.39561164,0.136116205,0.053885538,0.035999708
0.383344571,0.407723692,0.1163167,0.056370962,0.036244075
0.455574925,0.331898169,0.123629353,0.054768831,0.034128722
0.359668789,0.39420003,0.112950276,0.100661635,0.03251927
0.312096719,0.46444526,0.095667506,0.104292138,0.023498377
0.146893515,0.618806742,0.08110844,0.129163567,0.024027736
0.391222806,0.47615805,0.007301814,0.103204228,0.022113102
0.563169882,0.315040946,0.035267577,0.068583263,0.017938333
0.703162474,0.204969918,0.03541091,0.044126612,0.012330086
0.838778586,0.048774485,0.059293764,0.040499203,0.012653962
0.846532659,0.050599244,0.060641801,0.029639981,0.012586315
0.738703568,0.17810663,0.041456561,0.029738239,0.011995001
0.622688679,0.284014211,0.044353932,0.034446656,0.014496522
0.407654899,0.495835717,0.043020984,0.038456013,0.015032388
0.13868231,0.726448182,0.054320144,0.057611671,0.022937694
0.716911352,0.130818941,0.075017234,0.055826122,0.021426351
0.717928408,0.13659204,0.0499243,0.061026428,0.034528823
0.790099313,0.124750541,0.025537424,0.039548566,0.020064157
0.814384007,0.151934356,0.009038744,0.016705436,0.007937457
0.77702841,0.154352708,0.010505281,0.04513788,0.01297572
0.757786215,0.115011149,0.033302708,0.072575938,0.021323991
0.769196117,0.090721773,0.050340208,0.052798015,0.036943888
0.742239771,0.120322415,0.067920247,0.01529677,0.054220797
0.632372305,0.204230705,0.057195973,0.049927844,0.056273173
0.513045903,0.321423354,0.052193917,0.078516732,0.034820094
0.500573698,0.352338662,0.066578159,0.059061233,0.021448248
0.489187488,0.361501173,0.085568203,0.040304186,0.02343895
0.561188416,0.314182263,0.078540001,0.018747597,0.027341724
0.55560177,0.297798008,0.084709294,0.035772079,0.026118849
0.621800575,0.235674633,0.06219801,0.063150088,0.017176693
0.650271665,0.17095256,0.0569048,0.114599207,0.007271768
0.59541374,0.078184604,0.150684332,0.118732891,0.056984433
0.49009712,0.107003287,0.237299115,0.064976089,0.100624389
0.296880292,0.25744142,0.301751488,0.042974191,0.10095261
0.298464092,0.261349634,0.264859558,0.098287042,0.077039673
0.337956674,0.355853556,0.167269858,0.090118258,0.048801654
0.49856632,0.292679002,0.123976817,0.051607074,0.033170787
0.571232258,0.230333953,0.09301326,0.071865879,0.033554651
